movie_id,title,url,rating_overall,rating_num,rating_5,rating_4,rating_3,rating_2,rating_1
30387540,奇幻梦之旅,https://movie.douban.com/subject/30387540/,null,NA,NA,NA,NA,NA,NA
30183666,老爸102岁,https://movie.douban.com/subject/30183666/,7.2,17783,14.40%,39.30%,38.20%,7.10%,1.00%
25891853,铁甲战神,https://movie.douban.com/subject/25891853/,4.2,1855,0.50%,3.60%,23.40%,49.20%,23.40%
30291126,天渠,https://movie.douban.com/subject/30291126/,5.9,640,10.80%,16.20%,45.90%,10.80%,16.20%
30317053,超时空大冒险,https://movie.douban.com/subject/30317053/,null,NA,NA,NA,NA,NA,NA
30387545,大唐风云二,https://movie.douban.com/subject/30387545/,null,NA,NA,NA,NA,NA,NA
26627694,天眸之爱,https://movie.douban.com/subject/26627694/,null,NA,NA,NA,NA,NA,NA
25789361,谁来陪伴我,https://movie.douban.com/subject/25789361/,null,NA,NA,NA,NA,NA,NA
27624662,同名男子,https://movie.douban.com/subject/27624662/,6.5,2658,5.50%,27.70%,53.60%,10.90%,2.30%
26870262,大烟炮！一千八！,https://movie.douban.com/subject/26870262/,6,371,3.40%,24.10%,48.30%,17.20%,6.90%
33429434,一百年很长吗,https://movie.douban.com/subject/33429434/,9,10583,58.90%,31.10%,8.70%,1.00%,0.20%
35033654,闽宁镇,https://movie.douban.com/subject/35033654/,9.2,419096,66.50%,28.10%,4.80%,0.40%,0.20%
25716096,狗十三,https://movie.douban.com/subject/25716096/,8.2,488921,33.10%,46.20%,17.20%,2.60%,0.90%
3878007,海王,https://movie.douban.com/subject/3878007/,7.6,855656,21.10%,43.00%,30.60%,4.40%,0.90%
30316400,爱不可及,https://movie.douban.com/subject/30316400/,null,NA,NA,NA,NA,NA,NA
27204895,进击的男孩,https://movie.douban.com/subject/27204895/,null,NA,NA,NA,NA,NA,NA
26937563,惊涛飓浪,https://movie.douban.com/subject/26937563/,6.7,14901,5.90%,30.70%,54.80%,8.30%,0.40%
10581281,左手右手,https://movie.douban.com/subject/10581281/,5.6,234,9.70%,15.30%,38.20%,18.80%,18.10%
26887153,冥王星时刻,https://movie.douban.com/subject/26887153/,6.5,15106,6.00%,30.60%,48.30%,12.30%,2.80%
30181498,云上日出,https://movie.douban.com/subject/30181498/,null,NA,NA,NA,NA,NA,NA
30387531,谁是坏孩子,https://movie.douban.com/subject/30387531/,null,NA,NA,NA,NA,NA,NA
30258232,照相师,https://movie.douban.com/subject/30258232/,5.2,1208,6.80%,10.20%,38.60%,25.00%,19.30%
30185236,黄大年,https://movie.douban.com/subject/30185236/,5.1,616,14.70%,5.90%,20.60%,35.30%,23.50%
1291560,龙猫,https://movie.douban.com/subject/1291560/,9.2,1225465,64.40%,29.50%,5.80%,0.20%,0.10%
27198855,印度合伙人,https://movie.douban.com/subject/27198855/,7.7,106475,17.80%,50.00%,29.70%,2.20%,0.30%
26974343,二胎来了,https://movie.douban.com/subject/26974343/,null,NA,NA,NA,NA,NA,NA
27615441,网络谜踪,https://movie.douban.com/subject/27615441/,8.5,494273,38.30%,49.60%,11.50%,0.60%,0.10%
23774869,绿毛怪格林奇,https://movie.douban.com/subject/23774869/,6.2,12984,4.90%,18.80%,57.90%,16.10%,2.30%
30379636,铁臂双雄,https://movie.douban.com/subject/30379636/,null,NA,NA,NA,NA,NA,NA
3649540,破天荒,https://movie.douban.com/subject/3649540/,null,NA,NA,NA,NA,NA,NA
30387535,最萌警探,https://movie.douban.com/subject/30387535/,5.2,4275,2.30%,5.10%,51.40%,31.50%,9.70%
34461279,来日方长,https://movie.douban.com/subject/34461279/,7.1,1394,10.70%,39.70%,43.90%,4.90%,0.70%
27611675,轻轻握住你的手,https://movie.douban.com/subject/27611675/,null,NA,NA,NA,NA,NA,NA
30304044,春天的马拉松,https://movie.douban.com/subject/30304044/,5.4,552,2.00%,16.30%,46.90%,20.40%,14.30%
26574964,正好的我们,https://movie.douban.com/subject/26574964/,null,NA,NA,NA,NA,NA,NA
27069377,淡蓝琥珀,https://movie.douban.com/subject/27069377/,6.2,4087,3.40%,23.30%,53.50%,17.30%,2.50%
30293828,中国合伙人二,https://movie.douban.com/subject/30293828/,4.1,10498,1.80%,3.80%,22.50%,39.00%,32.90%
30391430,爱在湘西,https://movie.douban.com/subject/30391430/,null,NA,NA,NA,NA,NA,NA
